Date,PMMoV_gc_g_dry_weight,Plant,Population_Served,SC2_N_gc_g_dry_weight,SC2_Norm
12/18/2020,3483426710.0132804,Davis,68000,96114.06869588314,2.759181596087512e-05
12/19/2020,292156688.6559715,Davis,68000,56507.03919572194,0.000193413
12/20/2020,232433206.82264152,Davis,68000,18138.442847798746,7.803722667578781e-05
12/21/2020,294584040.4694133,Davis,68000,55629.46353058677,0.000188841
12/22/2020,425999302.0576132,Davis,68000,68246.01204938273,0.000160202
12/23/2020,402932267,Davis,68000,74584.33652380953,0.000185104
12/24/2020,461798849.2,Davis,68000,133452.01516049384,0.000288983
12/25/2020,520788290.2325581,Davis,68000,73466.68291472869,0.000141068
12/26/2020,482259395.20525455,Davis,68000,71921.67587520526,0.000149135
12/27/2020,119456783.71230982,Davis,68000,23775.095431258647,0.000199027
12/28/2020,331806495.04607046,Davis,68000,106662.0265799458,0.000321459
12/29/2020,182668354.51968503,Davis,68000,69592.14798950132,0.000380975
12/30/2020,266581287.8961039,Davis,68000,85011.23315440117,0.000318894
12/31/2020,382715624.1,Davis,68000,59219.77259056317,0.000154736
1/1/2021,211927026.1654184,Davis,68000,82621.94484,0.00038986
1/2/2021,225976139.74567112,Davis,68000,58278.83105257374,0.000257898
1/3/2021,208060227.1620553,Davis,68000,33085.389571541506,0.000159018
1/4/2021,3347517687.592184,Davis,68000,156865.55035346362,4.686026034601612e-05
1/5/2021,430326018.7761608,Davis,68000,104644.6360409532,0.000243175
1/6/2021,356421638.2575758,Davis,68000,4459145.1177255325,0.012510870943539726
1/7/2021,378807099.0114796,Davis,68000,106112.39063496492,0.000280122
1/8/2021,377524964.8174454,Davis,68000,105579.74227751164,0.000279663
1/9/2021,343434636.17302793,Davis,68000,99443.78996,0.000289557
1/10/2021,183791087.6296081,Davis,68000,24569.127599947653,0.00013368
1/11/2021,443073037.22993696,Davis,68000,59087.49950602536,0.000133358
1/12/2021,457020193.96372914,Davis,68000,124817.24915118195,0.000273111
1/13/2021,229451329.75870004,Davis,68000,294758.18114929576,0.001284622
1/14/2021,615908701.7551785,Davis,68000,192811.2346083212,0.000313052
1/15/2021,489663533.2180357,Davis,68000,86489.24307379135,0.00017663
1/16/2021,197393450.05580345,Davis,68000,78227.33076791925,0.000396302
